id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
10541,Camera Obscura,Denon,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750788
10542,Camera Obscura,Baby Huey (Hard Times),"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750586
10543,Camera Obscura,Baby Huey (Hard Times),"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750585
10544,Camera Obscura,Sleepwalking,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750363
10545,Camera Obscura,The Light Nights,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750089
10546,Camera Obscura,The Light Nights,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714750088
10547,Camera Obscura,Only a Dream,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749823
10548,Camera Obscura,Only a Dream,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749822
10549,Camera Obscura,Big Love,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749644
10550,Camera Obscura,Big Love,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749643
10551,Camera Obscura,We're Going to Make It in a Man's World,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749385
10552,Camera Obscura,We're Going to Make It in a Man's World,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749384
10553,Camera Obscura,Liberty Print,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749066
10554,Camera Obscura,Liberty Print,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749065
10555,Camera Obscura,Liberty Print,"Look to the East, Look to the West",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/f205be8990f19168d9877ef5adfca08a.jpg,0,1714749064
10556,Durry,Who's Laughing Now,Suburban Legend,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/3ef74fc492b2344228af8fa29af13366.jpg,0,1714738962
10557,English Teacher,Nearly Daffodils,This Could Be Texas,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/9869939c291c6bb023fd68ce600e490b.jpg,0,1714693280
10558,Chance the Rapper,Buried Alive,Buried Alive,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/fd711d82616c76c293c11151488458f3.jpg,0,1714693029
10559,Rick Ross,SHAQ & KOBE (Remix) ft. Shaquille O’Neal & Dame D.O.L.L.A.,Too Good To Be True,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/89530eecfe1b9cf8082c8b867eae7438.jpg,0,1714689502
